Nodal Displacements: 
Node    u1       u2 
0   0.0863  -0.0121
1   0.0779  -0.0184
2   0.0653  -0.0243
3   0.0499  -0.0273
4   0.0346  -0.0242
5   0.0222  -0.0182
6   0.0136  -0.0119
7   0.0103  -0.0063
8   0.0137  -0.0006
9   0.0221   0.0057
10   0.0347   0.0116
11   0.0501   0.0146
12   0.0654   0.0115
13   0.0778   0.0055
14   0.0864  -0.0008
15   0.0897  -0.0064
16   0.1000  -0.0127
17   0.0000  -0.0126
18  -0.0000  -0.0000
19   0.1000  -0.0001
20   0.0934  -0.0128
21   0.0865  -0.0140
22   0.0789  -0.0165
23   0.0710  -0.0202
24   0.0632  -0.0251
25   0.0567  -0.0302
26   0.0519  -0.0337
27   0.0481  -0.0336
28   0.0433  -0.0301
29   0.0368  -0.0250
30   0.0290  -0.0201
31   0.0211  -0.0163
32   0.0136  -0.0139
33   0.0066  -0.0126
34  -0.0000  -0.0098
35   0.0000  -0.0078
36  -0.0000  -0.0067
37   0.0000  -0.0063
38  -0.0000  -0.0063
39   0.0000  -0.0062
40  -0.0000  -0.0058
41   0.0000  -0.0047
42   0.0000  -0.0028
43   0.0066   0.0001
44   0.0135   0.0013
45   0.0211   0.0038
46   0.0290   0.0075
47   0.0368   0.0124
48   0.0433   0.0175
49   0.0481   0.0210
50   0.0519   0.0209
51   0.0567   0.0174
52   0.0632   0.0123
53   0.0710   0.0074
54   0.0789   0.0036
55   0.0864   0.0012
56   0.0934  -0.0001
57   0.1000  -0.0029
58   0.1000  -0.0049
59   0.1000  -0.0060
60   0.1000  -0.0064
61   0.1000  -0.0064
62   0.1000  -0.0065
63   0.1000  -0.0069
64   0.1000  -0.0080
65   0.1000  -0.0098
66   0.0964  -0.0053
67   0.0852  -0.0005
68   0.0714   0.0065
69   0.0566   0.0165
70   0.0220   0.0028
71   0.0149  -0.0003
72   0.0080  -0.0020
73   0.0029  -0.0060
74   0.0028  -0.0065
75   0.0037  -0.0074
76   0.0148  -0.0122
77   0.0285  -0.0191
78   0.0434  -0.0292
79   0.0812  -0.0125
80   0.0779  -0.0155
81   0.0971  -0.0067
82   0.0975  -0.0064
83   0.0972  -0.0062
84   0.0901  -0.0054
